stockCode,stockName
000006,深振业A
000012,南玻A
000016,深康佳A
000019,深粮控股
000025,特力A
000028,国药一致
000029,深深房A
000030,富奥股份
000032,深桑达A
000034,神州数码
000035,中国天楹
000048,京基智农
000049,德赛电池
000058,深赛格
000059,华锦股份
000061,农产品
000062,深圳华强
000065,北方国际
000088,盐田港
000090,天健集团
000403,派林生物
000415,渤海租赁
000420,吉林化纤
000422,湖北宜化
000426,兴业银锡
000488,ST晨鸣
000498,山东路桥
000503,国新健康
000517,荣安地产
000528,柳工
000543,皖能电力
000550,江铃汽车
000552,甘肃能化
000555,神州信息
000557,西部创业
000560,我爱我家
000567,海德股份
000582,北部湾港
000597,东北制药
000600,建投能源
000603,盛达资源
000627,*ST天茂(退市)
000650,仁和药业
000657,中钨高新
000672,上峰水泥
000676,智度股份
000681,视觉中国
000682,东方电子
000685,中山公用
000686,东北证券
000688,国城矿业
000690,宝新能源
000712,锦龙股份
000718,苏宁环球
000719,中原传媒
000727,冠捷科技
000735,罗牛山
000736,*ST中地
000737,北方铜业
000756,新华制药
000758,中色股份
000761,本钢板材
000762,西藏矿业
000767,晋控电力
000789,万年青
000791,甘肃能源
000795,英洛华
000801,四川九洲
000810,创维数字
000811,冰轮环境
000813,德展健康
000818,航锦科技
000821,ST京机
000828,东莞控股
000829,天音控股
000837,秦川机床
000848,承德露露
000851,*ST高鸿(退市)
000860,顺鑫农业
000869,张裕A
000875,电投绿能
000881,中广核技
000885,城发环境
000901,航天科技
000902,新洋丰
000913,钱江摩托
000915,华特达因
000917,电广传媒
000921,海信家电
000923,河钢资源
000927,中国铁物
000928,中钢国际
000935,四川双马
000950,重药控股
000951,中国重汽
000966,长源电力
000968,蓝焰控股
000969,安泰科技
000982,中银绒业(退市)
000989,九芝堂
000990,诚志股份
001213,中铁特货
001236,弘业期货
001258,立新能源
001269,欧晶科技
001270,*ST铖昌
001287,中电港
001301,尚太科技
001308,康冠科技
001311,多利科技
001322,箭牌家居
001323,慕思股份
001337,四川黄金
001338,永顺泰
001696,宗申动力
002003,伟星股份
002004,华邦健康
002006,精工科技
002011,盾安环境
002015,协鑫能科
002020,京新药业
002023,海特高新
002034,旺能环境
002036,联创电子
002038,双鹭药业
002041,登海种业
002043,兔宝宝
002048,宁波华翔
002051,中工国际
002053,云南能投
002060,广东建工
002061,浙江交科
002063,远光软件
002068,黑猫股份
002077,大港股份
002079,苏州固锝
002081,金螳螂
002085,万丰奥威
002088,鲁阳节能
002091,江苏国泰
002096,易普力
002097,山河智能
002099,海翔药业
002100,天康生物
002101,广东鸿图
002108,沧州明珠
002123,梦网科技
002124,天邦食品
002125,湘潭电化
002126,银轮股份
002127,南极电商
002130,沃尔核材
002135,东南网架
002139,拓邦股份
002145,钛能化学
002151,北斗星通
002158,汉钟精机
002163,海南发展
002171,楚江新材
002174,游族网络
002176,江特电机
002182,宝武镁业
002183,怡亚通
002190,成飞集成
002191,劲嘉股份
002194,武汉凡谷
002201,九鼎新材
002204,大连重工
002206,海利得
002212,天融信
002214,*ST大立
002215,诺普信
002216,三全食品
002217,合力泰
002218,拓日新能
002219,新里程
002221,东华能源
002222,福晶科技
002226,江南化工
002233,塔牌集团
002237,恒邦股份
002239,奥特佳
002242,九阳股份
002243,力合科创
002245,蔚蓝锂芯
002249,大洋电机
002250,联化科技
002254,泰和新材
002258,利尔化学
002261,拓维信息
002265,建设工业
002267,陕天然气
002274,华昌化工
002275,桂林三金
002276,万马股份
002283,天润工业
002287,奇正藏药
002291,遥望科技
002292,奥飞娱乐
002302,西部建设
002307,北新路桥
002312,川发龙蟒
002314,南山控股
002317,众生药业
002318,久立特材
002320,海峡股份
002324,普利特
002332,仙琚制药
002335,科华数据
002349,精华制药
002351,漫步者
002354,天娱数科
002378,章源钨业
002389,航天彩虹
002390,信邦制药
002396,星网锐捷
002400,省广集团
002402,和而泰
002405,四维图新
002416,爱施德
002421,达实智能
002424,ST百灵
002428,云南锗业
002434,万里扬
002436,兴森科技
002440,闰土股份
002446,盛路通信
002453,华软科技
002456,欧菲光
002458,益生股份
002461,珠江啤酒
002467,二六三
002484,江海股份
002488,金固股份
002489,浙江永强
002498,汉缆股份
002516,旷达科技
002534,西子洁能
002537,海联金汇
002539,云图控股
002541,鸿路钢构
002544,普天科技
002545,东方铁塔
002549,凯美特气
002550,千红制药
002556,辉隆股份
002567,唐人神
002573,清新环境
002581,ST未名
002583,海能达
002585,双星新材
002597,金禾实业
002605,姚记科技
002610,ST爱康(退市)
002612,朗姿股份
002617,露笑科技
002626,金达威
002635,安洁科技
002643,万润股份
002645,华宏科技
002646,天佑德酒
002649,博彦科技
002651,利君股份
002675,东诚药业
002677,浙江美大
002697,红旗连锁
002698,博实股份
002701,奥瑞金
002705,新宝股份
002706,良信股份
002724,海洋王
002726,龙大美食
002727,一心堂
002737,葵花药业
002741,光华科技
002745,木林森
002746,仙坛股份
002747,埃斯顿
002768,国恩股份
002773,康弘药业
002777,久远银海
002782,可立克
002807,江阴银行
002815,崇达技术
002832,比音勒芬
002837,英维克
002838,道恩股份
002839,张家港行
002840,华统股份
002847,盐津铺子
002851,麦格米特
002859,洁美科技
002866,传艺科技
002891,中宠股份
002895,川恒股份
002901,大博医疗
002906,华阳集团
002911,佛燃能源
002913,奥士康
002918,蒙娜丽莎
002928,华夏航空
002929,润建股份
002932,明德生物
002941,新疆交建
002946,新乳业
002948,青岛银行
002950,奥美医疗
002959,小熊电器
002960,青鸟消防
002961,瑞达期货
002967,广电计量
002978,安宁股份
002979,雷赛智能
002984,森麒麟
002985,北摩高科
002987,京北方
002990,盛视科技
002991,甘源食品
002993,奥海科技
003006,百亚股份
003009,中天火箭
003012,东鹏控股
003021,兆威机电
003039,顺控发展
003040,楚天龙
300002,神州泰岳
300027,华谊兄弟
300031,宝通科技
300034,钢研高纳
300035,中科电气
300036,超图软件
300039,上海凯宝
300054,鼎龙股份
300065,海兰信
300068,南都电源
300075,数字政通
300077,国民技术
300079,数码视讯
300080,易成新能
300083,创世纪
300085,银之杰
300087,荃银高科
300101,振芯科技
300109,新开源
300113,顺网科技
300119,瑞普生物
300123,亚光科技
300130,新国都
300133,华策影视
300134,大富科技
300143,盈康生命
300151,昌红科技
300158,振东制药
300166,东方国信
300170,汉得信息
300171,东富龙
300180,华峰超纤
300182,捷成股份
300183,东软载波
300185,通裕重工
300188,国投智能
300203,聚光科技
300206,理邦仪器
300208,中程退(退市)
300224,正海磁材
300226,上海钢联
300229,拓尔思
300232,洲明科技
300233,金城医药
300236,上海新阳
300260,新莱应材
300261,雅本化学
300263,隆华科技
300267,尔康制药
300271,华宇软件
300284,苏交科
300294,博雅生物
300298,三诺生物
300303,聚飞光电
300315,掌趣科技
300319,麦捷科技
300323,华灿光电
300327,中颖电子
300332,天壕能源
300339,润和软件
300343,ST联创
300346,南大光电
300348,长亮科技
300352,北信源
300358,楚天科技
300366,ST创意
300369,绿盟科技
300377,赢时胜
300379,东通退(退市)
300382,斯莱克
